date,start ,end,sea_breeze,Elevation,Radar,Comments
2020-06-01,18:05:00,,Y,149ft,KDIX,Upwelling day? It seemed to stay on shoreline for 2-3 hours
2020-06-02,,,N,149ft,KDIX,"Showers in late afternoon, maybe too cool inland for sea breeze to form?"
2020-06-03,22:41:00,,Y,149ft,KDIX,"TS in late afternoon, it might be a front or a Sea breeze "
2020-06-04,16:05:00,,Y,149ft,KDIX,"Propagates around 15Z, and moves pretty far inland."
2020-06-05,18:16:00,,Y,149ft,KDIX,Faint fine-line visible a bit inland
2020-06-06,,,N,149ft,KDIX,
2020-06-07,22:03:00,,Y,149ft,KDIX,
2020-06-08,17:05:00,,Y,149ft,KDIX,"Fine-line clearly visible and strengthens 17:05 to 23:04, moves far inland (signs of no upwelling)"
2020-06-09,17:36:00,,Y,149ft,KDIX,Not very apparent but there is propagation
2020-06-10,17:01:00,,Y,149ft,KDIX,"Theres a east-west fine line, not sure if this constitutes as a sea breeze but it does move west in land"
2020-06-11,,,N,149ft,KDIX,
2020-06-12,17:01:00,,Y,149ft,KDIX,Fine-line stays by coast (Upwelling event?)
2020-06-13,16:04:00,,Y,149ft,KDIX,Fine-line forms 16:04 persists until 23:28 (No upwelling?)
2020-06-14,20:09:00,,Y,149ft,KDIX,It seems to be a strong sea breeze  inland and moves west
2020-06-15,,,N,149ft,KDIX,
2020-06-16,,,Y,149ft,KDIX,Stationary and weak sea breeze 
2020-06-17,,,N,149ft,KDIX,
2020-06-18,,,N,149ft,KDIX,
2020-06-19,,,N,149ft,KDIX,
2020-06-20,,,N,149ft,KDIX,
2020-06-21,19:31:00,,Y,149ft,KDIX,Not very apparent but there is propagation after storm?
2020-06-22,16:00:00,,Y,149ft,KDIX,"Propagates at 1600 and moves pretty far inland (No upwelling?), secondary sea breeze event? (fine-line develops after)"
2020-06-23,,,N,149ft,KDIX,
2020-06-24,,,N,149ft,KDIX,
2020-06-25,16:01:00,,Y,149ft,KDIX,"Rain front passing towards east, the underlying sea breeze passing to the west"
2020-06-26,,,N,149ft,KDIX,"Theres no radar data from between 3Z and 22Z, so its possible there was one in between"
2020-06-27,18:02:00,,Y,149ft,KDIX,Faint fine-line visible a bit inland
