datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RFC,MIDATL,RECO,RECO,128.029,False
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RFC,MIDATL,RECO,RECO,120.156,False
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RFC,MIDATL,RECO,RECO,114.913,False
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RFC,MIDATL,RECO,RECO,112.289,False
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RFC,MIDATL,RECO,RECO,111.479,False
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RFC,MIDATL,RECO,RECO,112.576,False
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RFC,MIDATL,RECO,RECO,114.672,False
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RFC,MIDATL,RECO,RECO,117.006,False
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RFC,MIDATL,RECO,RECO,120.043,False
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RFC,MIDATL,RECO,RECO,124.783,False
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RFC,MIDATL,RECO,RECO,129.853,False
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RFC,MIDATL,RECO,RECO,132.863,False
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RFC,MIDATL,RECO,RECO,134.725,False
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,RFC,MIDATL,RECO,RECO,135.224,False
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,RFC,MIDATL,RECO,RECO,134.626,False
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RFC,MIDATL,RECO,RECO,136.203,False
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RFC,MIDATL,RECO,RECO,147.271,False
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,RFC,MIDATL,RECO,RECO,158.032,False
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,RFC,MIDATL,RECO,RECO,159.114,False
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,RFC,MIDATL,RECO,RECO,155.662,False
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,RFC,MIDATL,RECO,RECO,151.359,False
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,RFC,MIDATL,RECO,RECO,146.216,False
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,RFC,MIDATL,RECO,RECO,138.412,False
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,RFC,MIDATL,RECO,RECO,119.197,False
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,RFC,MIDATL,RECO,RECO,119.039,False
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,RFC,MIDATL,RECO,RECO,113.292,False
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,RFC,MIDATL,RECO,RECO,110.188,False
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,RFC,MIDATL,RECO,RECO,108.772,False
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,RFC,MIDATL,RECO,RECO,108.712,False
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,RFC,MIDATL,RECO,RECO,109.867,False
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,RFC,MIDATL,RECO,RECO,112.317,False
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,RFC,MIDATL,RECO,RECO,115.083,False
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,RFC,MIDATL,RECO,RECO,117.729,False
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,RFC,MIDATL,RECO,RECO,122.391,False
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,RFC,MIDATL,RECO,RECO,128.977,False
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,RFC,MIDATL,RECO,RECO,132.651,False
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,RFC,MIDATL,RECO,RECO,135.694,False
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,RFC,MIDATL,RECO,RECO,135.275,False
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,RFC,MIDATL,RECO,RECO,134.717,False
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,RFC,MIDATL,RECO,RECO,135.035,False
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,RFC,MIDATL,RECO,RECO,147.934,False
