datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,RFC,MIDATL,PS,PS,3983.133,True
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,RFC,MIDATL,PS,PS,3856.770,True
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,RFC,MIDATL,PS,PS,3747.215,True
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,RFC,MIDATL,PS,PS,3682.721,True
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,RFC,MIDATL,PS,PS,3649.387,True
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,RFC,MIDATL,PS,PS,3659.138,True
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,RFC,MIDATL,PS,PS,3700.799,True
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,RFC,MIDATL,PS,PS,3685.148,True
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,RFC,MIDATL,PS,PS,3623.870,True
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,RFC,MIDATL,PS,PS,3469.501,True
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,RFC,MIDATL,PS,PS,3402.382,True
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,RFC,MIDATL,PS,PS,3361.702,True
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,RFC,MIDATL,PS,PS,3392.878,True
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,RFC,MIDATL,PS,PS,3529.689,True
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,RFC,MIDATL,PS,PS,3712.498,True
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,RFC,MIDATL,PS,PS,3919.114,True
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,RFC,MIDATL,PS,PS,4233.634,True
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,RFC,MIDATL,PS,PS,4577.584,True
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,RFC,MIDATL,PS,PS,4615.929,True
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,RFC,MIDATL,PS,PS,4595.479,True
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,RFC,MIDATL,PS,PS,4550.137,True
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,RFC,MIDATL,PS,PS,4453.365,True
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,RFC,MIDATL,PS,PS,4293.146,True
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,RFC,MIDATL,PS,PS,4090.166,True
1/2/2023 5:00:00 AM,1/2/2023 12:00:00 AM,RFC,MIDATL,PS,PS,3923.900,True
1/2/2023 6:00:00 AM,1/2/2023 1:00:00 AM,RFC,MIDATL,PS,PS,3801.522,True
1/2/2023 7:00:00 AM,1/2/2023 2:00:00 AM,RFC,MIDATL,PS,PS,3746.187,True
1/2/2023 8:00:00 AM,1/2/2023 3:00:00 AM,RFC,MIDATL,PS,PS,3721.805,True
1/2/2023 9:00:00 AM,1/2/2023 4:00:00 AM,RFC,MIDATL,PS,PS,3763.493,True
1/2/2023 10:00:00 AM,1/2/2023 5:00:00 AM,RFC,MIDATL,PS,PS,3868.982,True
1/2/2023 11:00:00 AM,1/2/2023 6:00:00 AM,RFC,MIDATL,PS,PS,4068.581,True
1/2/2023 12:00:00 PM,1/2/2023 7:00:00 AM,RFC,MIDATL,PS,PS,4176.335,True
1/2/2023 1:00:00 PM,1/2/2023 8:00:00 AM,RFC,MIDATL,PS,PS,4218.326,True
1/2/2023 2:00:00 PM,1/2/2023 9:00:00 AM,RFC,MIDATL,PS,PS,4234.337,True
1/2/2023 3:00:00 PM,1/2/2023 10:00:00 AM,RFC,MIDATL,PS,PS,4204.043,True
1/2/2023 4:00:00 PM,1/2/2023 11:00:00 AM,RFC,MIDATL,PS,PS,4085.258,True
