datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,RFC,MIDATL,AE,AECO,868.864,True
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,RFC,MIDATL,AE,VMEU,62.795,True
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,889.027,True
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,61.526,True
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,857.286,True
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,60.256,True
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,842.499,True
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,RFC,MIDATL,AE,VMEU,59.636,True
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,RFC,MIDATL,AE,AECO,843.485,True
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,RFC,MIDATL,AE,VMEU,59.825,True
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,RFC,MIDATL,AE,AECO,864.756,True
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,RFC,MIDATL,AE,VMEU,61.442,True
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,RFC,MIDATL,AE,AECO,886.637,True
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,RFC,MIDATL,AE,VMEU,62.363,True
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,RFC,MIDATL,AE,AECO,912.405,True
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,RFC,MIDATL,AE,VMEU,62.048,True
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,RFC,MIDATL,AE,AECO,892.503,True
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,RFC,MIDATL,AE,VMEU,62.489,True
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,RFC,MIDATL,AE,AECO,922.154,True
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,RFC,MIDATL,AE,VMEU,62.226,True
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,RFC,MIDATL,AE,AECO,904.463,True
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,RFC,MIDATL,AE,VMEU,60.341,True
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,RFC,MIDATL,AE,AECO,841.711,True
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,RFC,MIDATL,AE,VMEU,56.237,True
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,RFC,MIDATL,AE,AECO,827.045,True
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,RFC,MIDATL,AE,VMEU,55.022,True
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,RFC,MIDATL,AE,AECO,821.892,True
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,RFC,MIDATL,AE,VMEU,56.957,True
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,RFC,MIDATL,AE,AECO,862.192,True
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,RFC,MIDATL,AE,VMEU,58.133,True
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,RFC,MIDATL,AE,AECO,914.332,True
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,RFC,MIDATL,AE,VMEU,62.401,True
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,RFC,MIDATL,AE,AECO,1033.282,True
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,RFC,MIDATL,AE,VMEU,69.669,True
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,RFC,MIDATL,AE,AECO,1166.504,True
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,RFC,MIDATL,AE,VMEU,76.328,True
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,RFC,MIDATL,AE,AECO,1175.899,True
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,RFC,MIDATL,AE,VMEU,77.428,True
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,RFC,MIDATL,AE,AECO,1171.982,True
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,RFC,MIDATL,AE,VMEU,76.977,True
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,RFC,MIDATL,AE,AECO,1153.659,True
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,RFC,MIDATL,AE,VMEU,76.688,True
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,RFC,MIDATL,AE,AECO,1113.218,True
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,RFC,MIDATL,AE,VMEU,73.985,True
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,RFC,MIDATL,AE,AECO,1038.737,True
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,RFC,MIDATL,AE,VMEU,70.282,True
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,RFC,MIDATL,AE,AECO,964.526,True
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,RFC,MIDATL,AE,VMEU,66.819,True
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,RFC,MIDATL,AE,AECO,901.569,True
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,RFC,MIDATL,AE,VMEU,64.367,True
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,911.105,True
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,63.488,True
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,901.978,True
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,63.025,True
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,907.521,True
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,RFC,MIDATL,AE,VMEU,63.471,True
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,RFC,MIDATL,AE,AECO,931.725,True
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,RFC,MIDATL,AE,VMEU,66.340,True
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,RFC,MIDATL,AE,AECO,999.607,True
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,RFC,MIDATL,AE,VMEU,71.928,True
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,RFC,MIDATL,AE,AECO,1060.930,True
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,RFC,MIDATL,AE,VMEU,79.241,True
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,RFC,MIDATL,AE,AECO,1149.088,True
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,RFC,MIDATL,AE,VMEU,82.137,True
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,RFC,MIDATL,AE,AECO,1059.247,True
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,RFC,MIDATL,AE,VMEU,78.093,True
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,RFC,MIDATL,AE,AECO,955.758,True
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,RFC,MIDATL,AE,VMEU,69.699,True
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,RFC,MIDATL,AE,AECO,923.091,True
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,RFC,MIDATL,AE,VMEU,70.267,True
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,RFC,MIDATL,AE,AECO,906.296,True
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,RFC,MIDATL,AE,VMEU,70.062,True
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,RFC,MIDATL,AE,AECO,895.214,True
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,RFC,MIDATL,AE,VMEU,66.932,True
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,RFC,MIDATL,AE,AECO,894.485,True
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,RFC,MIDATL,AE,VMEU,68.118,True
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,RFC,MIDATL,AE,AECO,923.998,True
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,RFC,MIDATL,AE,VMEU,71.343,True
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,RFC,MIDATL,AE,AECO,964.680,True
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,RFC,MIDATL,AE,VMEU,74.792,True
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,RFC,MIDATL,AE,AECO,1061.546,True
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,RFC,MIDATL,AE,VMEU,79.882,True
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,RFC,MIDATL,AE,AECO,1177.145,True
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,RFC,MIDATL,AE,VMEU,85.548,True
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,RFC,MIDATL,AE,AECO,1183.709,True
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,RFC,MIDATL,AE,VMEU,85.489,True
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,RFC,MIDATL,AE,AECO,1163.095,True
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,RFC,MIDATL,AE,VMEU,83.601,True
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,RFC,MIDATL,AE,AECO,1130.323,True
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,RFC,MIDATL,AE,VMEU,81.382,True
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,RFC,MIDATL,AE,AECO,1075.503,True
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,RFC,MIDATL,AE,VMEU,77.726,True
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,RFC,MIDATL,AE,AECO,987.367,True
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,RFC,MIDATL,AE,VMEU,72.190,True
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,RFC,MIDATL,AE,AECO,855.975,True
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,RFC,MIDATL,AE,VMEU,67.209,True
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,RFC,MIDATL,AE,AECO,856.849,True
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,RFC,MIDATL,AE,VMEU,63.657,True
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,817.333,True
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,61.962,True
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,795.789,True
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,60.810,True
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,794.936,True
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,RFC,MIDATL,AE,VMEU,60.496,True
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,RFC,MIDATL,AE,AECO,815.979,True
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,RFC,MIDATL,AE,VMEU,62.654,True
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,RFC,MIDATL,AE,AECO,864.336,True
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,RFC,MIDATL,AE,VMEU,67.675,True
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,RFC,MIDATL,AE,AECO,958.237,True
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,RFC,MIDATL,AE,VMEU,73.486,True
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,RFC,MIDATL,AE,AECO,1032.396,True
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,RFC,MIDATL,AE,VMEU,77.010,True
1/3/2020 1:00:00 PM,1/3/2020 8:00:00 AM,RFC,MIDATL,AE,AECO,997.685,True
1/3/2020 1:00:00 PM,1/3/2020 8:00:00 AM,RFC,MIDATL,AE,VMEU,77.925,True
1/3/2020 2:00:00 PM,1/3/2020 9:00:00 AM,RFC,MIDATL,AE,AECO,1022.566,True
1/3/2020 2:00:00 PM,1/3/2020 9:00:00 AM,RFC,MIDATL,AE,VMEU,77.934,True
1/3/2020 3:00:00 PM,1/3/2020 10:00:00 AM,RFC,MIDATL,AE,AECO,1009.154,True
1/3/2020 3:00:00 PM,1/3/2020 10:00:00 AM,RFC,MIDATL,AE,VMEU,77.812,True
1/3/2020 4:00:00 PM,1/3/2020 11:00:00 AM,RFC,MIDATL,AE,AECO,1009.424,True
1/3/2020 4:00:00 PM,1/3/2020 11:00:00 AM,RFC,MIDATL,AE,VMEU,77.613,True
1/3/2020 5:00:00 PM,1/3/2020 12:00:00 PM,RFC,MIDATL,AE,AECO,990.432,True
1/3/2020 5:00:00 PM,1/3/2020 12:00:00 PM,RFC,MIDATL,AE,VMEU,76.604,True
1/3/2020 6:00:00 PM,1/3/2020 1:00:00 PM,RFC,MIDATL,AE,AECO,998.105,True
1/3/2020 6:00:00 PM,1/3/2020 1:00:00 PM,RFC,MIDATL,AE,VMEU,77.517,True
1/3/2020 7:00:00 PM,1/3/2020 2:00:00 PM,RFC,MIDATL,AE,AECO,996.309,True
1/3/2020 7:00:00 PM,1/3/2020 2:00:00 PM,RFC,MIDATL,AE,VMEU,78.560,True
1/3/2020 8:00:00 PM,1/3/2020 3:00:00 PM,RFC,MIDATL,AE,AECO,1015.696,True
1/3/2020 8:00:00 PM,1/3/2020 3:00:00 PM,RFC,MIDATL,AE,VMEU,78.014,True
1/3/2020 9:00:00 PM,1/3/2020 4:00:00 PM,RFC,MIDATL,AE,AECO,1068.511,True
1/3/2020 9:00:00 PM,1/3/2020 4:00:00 PM,RFC,MIDATL,AE,VMEU,80.482,True
1/3/2020 10:00:00 PM,1/3/2020 5:00:00 PM,RFC,MIDATL,AE,AECO,1130.307,True
1/3/2020 10:00:00 PM,1/3/2020 5:00:00 PM,RFC,MIDATL,AE,VMEU,82.710,True
1/3/2020 11:00:00 PM,1/3/2020 6:00:00 PM,RFC,MIDATL,AE,AECO,1121.936,True
1/3/2020 11:00:00 PM,1/3/2020 6:00:00 PM,RFC,MIDATL,AE,VMEU,81.358,True
1/4/2020 12:00:00 AM,1/3/2020 7:00:00 PM,RFC,MIDATL,AE,AECO,1101.498,True
1/4/2020 12:00:00 AM,1/3/2020 7:00:00 PM,RFC,MIDATL,AE,VMEU,79.651,True
1/4/2020 1:00:00 AM,1/3/2020 8:00:00 PM,RFC,MIDATL,AE,AECO,1073.276,True
1/4/2020 1:00:00 AM,1/3/2020 8:00:00 PM,RFC,MIDATL,AE,VMEU,77.931,True
1/4/2020 2:00:00 AM,1/3/2020 9:00:00 PM,RFC,MIDATL,AE,AECO,1027.924,True
1/4/2020 2:00:00 AM,1/3/2020 9:00:00 PM,RFC,MIDATL,AE,VMEU,75.336,True
