lon,lat
-75.95,37.273
-75.927,37.274
-75.904,37.275
-75.881,37.277
-75.858,37.278
-75.835,37.279
-75.812,37.281
-75.789,37.282
-75.765,37.283
-75.742,37.285
-75.719,37.286
-75.696,37.287
-75.673,37.289
-75.65,37.29
-75.627,37.291
-75.604,37.292
-75.58,37.294
-75.557,37.295
-75.534,37.296
-75.511,37.298
-75.488,37.299
-75.465,37.3
-75.442,37.301
-75.419,37.303
-75.395,37.304
-75.372,37.305
-75.349,37.306
-75.326,37.308
-75.303,37.309
-75.28,37.31
-75.257,37.311
-75.234,37.312
-75.21,37.314
-75.187,37.315
-75.164,37.316
-75.141,37.317
-75.118,37.318
-75.095,37.32
-75.072,37.321
-75.048,37.322
-75.025,37.323
-75.002,37.324
-74.979,37.325
-74.956,37.326
-74.933,37.328
-74.91,37.329
-74.886,37.33
-74.863,37.331
-74.84,37.332
-74.817,37.333
-74.794,37.334
-74.771,37.335
-74.748,37.337
-74.724,37.338
-74.701,37.339
-74.678,37.34
-74.655,37.341
-74.632,37.342
-74.609,37.343
-74.585,37.344
-74.562,37.345
-74.539,37.346
-74.516,37.347
-74.493,37.348
-74.47,37.349
-74.446,37.35
-74.423,37.351
-74.4,37.352
-74.377,37.353
-74.354,37.354
-74.331,37.355
-74.307,37.356
-74.284,37.357
-74.261,37.358
-74.238,37.359
-74.215,37.36
-74.192,37.361
-74.168,37.362
-74.145,37.363
-74.122,37.364
-74.099,37.365
-74.076,37.366
-74.053,37.367
-74.029,37.368
-74.006,37.369
-73.983,37.37
-73.96,37.371
-73.937,37.372
-73.914,37.372
-73.89,37.373
-73.867,37.374
-73.844,37.375
-73.821,37.376
-73.798,37.377
-73.774,37.378
-73.751,37.379
-73.728,37.379
-73.705,37.38
-73.682,37.381
-73.659,37.382
-73.635,37.383
-73.612,37.384
-73.589,37.385
-73.566,37.385
-73.543,37.386
-73.519,37.387
-73.496,37.388
-73.473,37.389
-73.45,37.389
-73.427,37.39
-73.403,37.391
-73.38,37.392
-73.357,37.393
-73.334,37.393
-73.311,37.394
-73.288,37.395
-73.264,37.396
-73.241,37.396
-73.218,37.397
-73.195,37.398
-73.172,37.399
-73.148,37.399
-73.125,37.4
-73.102,37.401
-73.079,37.401
-73.056,37.402
-73.032,37.403
-73.009,37.404
-72.986,37.404
-72.963,37.405
-72.94,37.406
-72.916,37.406
-72.893,37.407
-72.87,37.408
-72.847,37.408
-72.824,37.409
-72.8,37.41
-72.777,37.41
-72.754,37.411
-72.731,37.411
-72.707,37.412
-72.684,37.413
-72.661,37.413
-72.638,37.414
-72.615,37.415
-72.591,37.415
-72.568,37.416
-72.545,37.416
-72.522,37.417
-72.499,37.417
-72.475,37.418
-72.452,37.419
-72.429,37.419
-72.406,37.42
-72.383,37.42
-72.359,37.421
-72.336,37.421
-72.313,37.422
-72.29,37.422
-72.266,37.423
-72.243,37.423
-72.22,37.424
-72.197,37.424
-72.174,37.425
-72.15,37.426
-72.127,37.426
-72.104,37.426
-72.081,37.427
-72.058,37.427
-72.034,37.428
-72.011,37.428
-71.988,37.429
-71.965,37.429
-71.941,37.43
-71.918,37.43
-71.895,37.431
-71.872,37.431
-71.849,37.431
-71.825,37.432
-71.802,37.432
-71.779,37.433
-71.756,37.433
-71.732,37.434
-71.709,37.434
-71.686,37.434
-71.663,37.435
-71.64,37.435
-71.616,37.435
-71.593,37.436
-71.57,37.436
-71.547,37.437
-71.523,37.437
-71.5,37.437
-71.477,37.438
-71.454,37.438
-71.431,37.438
-71.407,37.439
-71.384,37.439
-71.361,37.439
-71.338,37.44
-71.314,37.44
-71.291,37.44
-71.268,37.44
-71.245,37.441
-71.221,37.441
-71.198,37.441
-71.175,37.442
